list-none-m,2,1000,8,6000,3402771,567,324
list-none-s,2,1000,8,6000,3203675,533,171
list-none-m,2,1000,16,6000,2226745,371,172
list-none-s,2,1000,16,6000,4232445,705,199
list-none-m,4,1000,4,12000,17977136,1498,3958
list-none-s,4,1000,4,12000,17230444,1435,3371
list-none-m,4,1000,8,12000,9128401,760,1462
list-none-s,4,1000,8,12000,8097619,674,917
list-none-m,4,1000,16,12000,5439273,453,674
list-none-s,4,1000,16,12000,4411098,367,314
list-none-m,8,1000,4,24000,54497048,2270,17192
list-none-s,8,1000,4,24000,46750501,1947,14365
list-none-m,8,1000,8,24000,22873676,953,5503
list-none-s,8,1000,8,24000,17742761,739,3666
list-none-m,8,1000,16,24000,11137807,464,1911
list-none-s,8,1000,16,24000,8535901,355,1047
list-none-m,12,1000,4,36000,124649677,3462,45812
list-none-s,12,1000,4,36000,105577742,2932,38309
list-none-m,12,1000,8,36000,44346219,1231,12902
list-none-s,12,1000,8,36000,34413647,955,9349
list-none-m,12,1000,16,36000,18700907,519,3956
list-none-s,12,1000,16,36000,14297252,397,2484
list-none-m,1,1000,1,3000,4256405,1418,45
list-none-m,2,1000,1,6000,26779212,4463,6645
list-none-m,4,1000,1,12000,96588435,8049,33768
list-none-m,8,1000,1,24000,435476123,18144,180229
list-none-m,12,1000,1,36000,1253177846,34810,539435
list-none-m,16,1000,1,48000,2207182209,45982,994466
list-none-m,24,1000,1,72000,4960808129,68900,2108277
list-none-s,1,1000,1,3000,4174588,1391,43
list-none-s,2,1000,1,6000,36173652,6028,8508
list-none-s,4,1000,1,12000,118543652,9878,43774
list-none-s,8,1000,1,24000,508678811,21194,221120
list-none-s,12,1000,1,36000,1369415965,38039,626068
list-none-s,16,1000,1,48000,2470365293,51465,1085922
list-none-s,24,1000,1,72000,5849993722,81249,2581921
list-id-none,1,1,4,3,217314,72438,0
list-id-none,1,2,4,6,202891,33815,0
list-id-none,1,4,4,12,233052,19421,0
list-id-none,1,8,4,24,223508,9312,0
list-id-none,1,16,4,48,227072,4730,0
list-id-none,4,1,4,12,258373,21531,0
list-id-none,4,2,4,24,429053,17877,0
list-id-none,4,4,4,48,319455,6655,0
list-id-none,4,8,4,96,336933,3509,0
list-id-none,4,16,4,192,326933,1702,0
list-id-none,8,1,4,24,1008889,42037,0
list-id-none,8,2,4,48,1829980,38124,0
list-id-none,8,4,4,96,364564,3797,0
list-id-none,8,16,4,384,1087576,2832,0
list-id-none,12,1,4,36,1135704,31547,0
list-id-none,12,2,4,72,1157016,16069,0
list-id-none,12,4,4,144,1154543,8017,0
list-id-none,12,16,4,576,1098034,1906,0
list-id-none,16,1,4,48,1179553,24574,0
list-id-none,16,2,4,96,1914036,19937,0
list-id-none,16,4,4,192,1517202,7902,0
list-id-none,16,8,4,384,1292994,3367,0
list-id-s,1,10,4,30,209999,6999,51
list-id-m,1,10,4,30,255588,8519,86
list-id-s,1,20,4,60,243983,4066,57
list-id-m,1,20,4,60,244186,4069,68
list-id-s,1,40,4,120,249496,2079,46
list-id-m,1,40,4,120,236625,1971,57
list-id-s,1,80,4,240,270415,1126,44
list-id-m,1,80,4,240,251527,1048,52
list-id-s,4,10,4,120,357553,2979,179
list-id-m,4,10,4,120,259516,2162,75
list-id-s,4,20,4,240,258519,1077,49
list-id-m,4,20,4,240,1497525,6239,59
list-id-s,4,40,4,480,364843,760,491
list-id-m,4,40,4,480,385980,804,770
list-id-s,4,80,4,960,550687,573,927
list-id-m,4,80,4,960,751663,782,1346
list-id-s,8,10,4,240,408616,1702,49
list-id-m,8,10,4,240,1046067,4358,292
list-id-s,8,20,4,480,356576,742,69
list-id-m,8,20,4,480,1093893,2278,73
list-id-s,8,40,4,960,543170,565,1737
